Date,Close/Last,Volume,Open,High,Low,Daily Returns,Weekly Rolling Std
2024-02-05,187.68,69668820,188.15,189.25,185.84,1.8300000000000125,3.4132877601167833
2024-02-06,189.3,43490760,186.86,189.31,186.77,1.6200000000000045,2.37819158986925
2024-02-07,189.41,53438960,190.64,191.05,188.61,0.10999999999998522,1.8176240378270418
2024-02-08,188.32,40962050,189.39,189.54,187.35,-1.0900000000000034,1.837976371688899
2024-02-09,188.85,45155220,188.65,189.99,188.0,0.5300000000000011,1.3239515168907479
2024-02-12,187.15,41781930,188.42,188.67,186.79,-1.6999999999999886,1.284886506024186
2024-02-13,185.04,56529530,185.77,186.21,183.51,-2.1100000000000136,1.531914457400155
2024-02-14,184.15,54630520,185.32,185.53,182.44,-0.8899999999999864,2.1122026418006485
2024-02-15,183.86,65434500,183.55,184.49,181.35,-0.28999999999999204,2.31355220592779
2024-02-16,182.31,49752470,183.42,184.85,181.67,-1.5500000000000114,2.4697599652079028
2024-02-20,181.56,53665550,181.79,182.43,180.0,-0.75,2.5794166930179903
2024-02-21,182.32,41529670,181.94,182.89,180.66,0.7599999999999909,1.9282116066524773
2024-02-22,184.37,52292210,183.48,184.96,182.46,2.0500000000000114,1.299970695651672
2024-02-23,182.52,45119680,185.01,185.04,182.23,-1.8499999999999943,1.0939487234569336
2024-02-26,181.16,40867420,182.24,182.76,180.65,-1.3600000000000136,1.1578119758655807
2024-02-27,182.63,54318850,181.1,183.92,179.56,1.4699999999999989,1.016956242927473
2024-02-28,181.42,48953940,182.51,183.12,180.13,-1.210000000000008,1.0849072815466556
2024-02-29,180.75,136682600,181.27,182.57,179.53,-0.6699999999999875,1.2107534057573135
2024-03-01,179.66,73563080,179.55,180.53,177.38,-1.0900000000000034,1.5300949239245034
2024-03-04,175.1,81510100,176.15,176.9,173.79,-4.560000000000002,2.5760998575791416
2024-03-05,170.12,95132360,170.76,172.04,169.62,-4.97999999999999,4.483207291557686
2024-03-06,169.12,68587710,171.06,171.24,168.68,-1.0,5.558844090193176
2024-03-07,169.0,71765060,169.15,170.73,168.49,-0.12000000000000455,5.633074522093252
2024-03-08,170.73,76267040,169.0,173.7,168.94,1.7299999999999898,5.026591669267656
2024-03-11,172.75,60139470,172.94,174.38,172.05,2.0200000000000102,3.881820265217779
2024-03-12,173.23,59825370,173.15,174.03,171.01,0.47999999999998977,2.3057237268997604
2024-03-13,171.13,52488690,172.77,173.19,170.76,-2.0999999999999943,1.6488928464500336
2024-03-14,173.0,72913510,172.91,174.31,172.05,1.8700000000000045,1.784694184828285
2024-03-15,172.62,121752700,171.17,172.62,170.29,-0.37999999999999545,1.5540699255052843
2024-03-18,173.72,75604180,175.57,177.71,173.52,1.0999999999999943,1.106297987940883
2024-03-19,176.08,55215240,174.34,176.61,173.03,2.3600000000000136,1.4959437218941727
2024-03-20,178.67,53423100,175.72,178.67,175.09,2.589999999999975,2.513926922457311
2024-03-21,171.37,106181300,177.05,177.49,170.84,-7.299999999999983,2.707639984514436
2024-03-22,172.28,71160140,171.76,173.05,170.06,0.9099999999999966,2.5489783200760177
2024-03-25,170.85,54288330,170.57,171.94,169.45,-1.4300000000000068,2.801373812635911
2024-03-26,169.71,57388450,170.0,171.42,169.58,-1.1399999999999864,3.1720760814793842
2024-03-27,173.31,60273270,170.41,173.6,170.11,3.5999999999999943,3.1655143266786645
2024-03-28,171.48,65672690,171.75,172.23,170.51,-1.8300000000000125,2.9323816096798683
2024-04-01,170.03,46240500,171.19,171.25,169.48,-1.4499999999999886,1.2503732776095067
2024-04-02,168.84,49329480,169.08,169.34,168.23,-1.1899999999999977,1.5525401612864957
2024-04-03,169.65,47691720,168.79,170.68,168.58,0.8100000000000023,1.487870002010804
2024-04-04,168.82,53704390,170.29,171.92,168.82,-0.8300000000000125,1.6128826603993642
2024-04-05,169.58,42104830,169.59,170.39,168.95,0.7600000000000193,1.6210372928431833
2024-04-08,169.58,37425510,169.03,169.2,168.24,0.0,0.896445361268986
2024-04-09,169.67,42451210,168.7,170.08,168.35,0.08999999999997499,0.45231678745859094
2024-04-10,167.78,49709340,168.8,169.09,167.11,-1.8899999999999864,0.703525137485488
2024-04-11,175.04,91070280,168.34,175.46,168.16,7.259999999999991,2.3203642981689145
2024-04-12,176.55,101670900,174.26,178.36,174.21,1.5100000000000193,3.3676535564420917
2024-04-15,172.69,73531770,175.36,176.63,172.5,-3.8600000000000136,3.26569470477394
2024-04-16,169.38,73711240,171.75,173.76,168.27,-3.3100000000000023,3.286668598477359
2024-04-17,168.0,50901210,169.61,170.65,168.0,-1.3799999999999955,3.490603713649101
2024-04-18,167.04,43122900,168.03,168.64,166.55,-0.960000000000008,3.821342945194588
2024-04-19,165.0,68149380,166.21,166.4,164.08,-2.039999999999992,4.31529229821968
2024-04-22,165.84,48116440,165.52,167.26,164.77,0.8400000000000034,4.108299961231511
2024-04-23,166.9,49537760,165.35,167.05,164.92,1.0600000000000023,2.566085586671106
2024-04-24,169.02,48251840,166.54,169.3,166.21,2.1200000000000045,1.6032823474797426
2024-04-25,169.89,50558330,169.53,170.61,168.15,0.8699999999999761,1.7202699123842287
2024-04-26,169.3,44838350,169.88,171.34,169.18,-0.589999999999975,1.8621403455949754
2024-04-29,173.5,68169420,173.37,176.03,173.1,4.199999999999989,2.8788812311179495
2024-04-30,170.33,65934780,173.33,174.99,170.0,-3.1699999999999875,2.478049348066891
2024-05-01,169.3,50383150,169.58,172.71,169.11,-1.0300000000000011,1.9781677429060103
2024-05-02,173.03,94214920,172.51,173.42,170.89,3.7299999999999898,1.860294395551841
2024-05-03,183.38,163224100,186.65,187.0,182.66,10.349999999999994,5.023945518360563
