Date,Apple Monthly Returns,Microsoft Monthly Returns,Inflation PCT Change
2014-05-31,-0.08000000000000185,0.5999999999999943,0.05025067580776055
2014-06-30,0.23000000000000043,-0.5499999999999972,0.0071472955810480965
2014-07-31,-0.6400000000000006,-0.41850000000000165,-0.020723620960982236
2014-08-31,0.07000000000000028,0.5499999999999972,-0.06638742726916169
2014-09-30,0.16000000000000014,-0.0799999999999983,-0.004516040442732239
2014-10-31,0.25,0.9000000000000057,0.02630180958583117
2014-11-30,-0.019999999999999574,0.060000000000002274,-0.0011571535421840418
2014-12-31,-0.5299999999999976,-0.5700000000000003,-0.01896859010367924
2015-01-31,-0.4400000000000013,-1.6099999999999994,0.007719151184004236
2015-02-28,-0.480000000000004,-0.2049999999999983,-0.0019470087762127886
2015-03-31,-0.4800000000000004,-0.3049999999999997,0.008663550174725865
2015-04-30,-0.8699999999999974,-0.4200000000000017,0.03221944445282143
2015-05-31,-0.38000000000000256,-0.5900000000000034,0.0013882193688494748
2015-06-30,0.23000000000000043,-0.21999999999999886,0.02293683484224407
2015-07-31,-0.26000000000000156,-0.17999999999999972,0.012712170561649527
2015-08-31,-0.129999999999999,-0.4099999999999966,0.018179983337049288
2015-09-30,0.3099999999999987,0.8200000000000003,0.04579046628560568
2015-10-31,-0.25,-0.7199999999999989,0.02951507051243607
2015-11-30,0.129999999999999,0.4200000000000017,0.025319290325122035
2015-12-31,-0.509999999999998,-0.8300000000000054,0.017903429555776063
2016-01-31,0.8200000000000003,3.0350000000000037,0.009592627190925684
2016-02-29,-0.05999999999999872,-0.4199999999999946,0.03144161090407138
2016-03-31,-0.14000000000000057,0.17999999999999972,-0.004743026010409546
2016-04-30,-0.2699999999999996,-0.030000000000001137,0.002064749858879722
2016-05-31,-0.120000000000001,0.6799999999999997,0.013529112003887178
2016-06-30,0.29999999999999716,0.6300000000000026,-0.0007986193123220575
2016-07-31,-0.03999999999999915,0.46999999999999886,0.0023505741275355874
2016-08-31,0.030000000000001137,-0.4299999999999997,0.05708626255275506
2016-09-30,0.21000000000000085,0.20000000000000284,-0.03370261605015856
2016-10-31,-0.03999999999999915,0.05000000000000426,-0.0466820507017871
2016-11-30,-0.240000000000002,-0.8300000000000054,0.006512491867378012
2016-12-31,-0.21999999999999886,-0.759999999999998,0.02649208040772444
2017-01-31,-0.07000000000000028,-0.47999999999998977,0.025704312791698936
2017-02-28,0.020000000000003126,-0.2500000000000071,0.004837203058068784
2017-03-31,-0.05999999999999517,0.15000000000000568,-0.08555989981107615
2017-04-30,-0.04000000000000625,0.18999999999999773,-0.08245717573687117
2017-05-31,-0.23000000000000398,-0.5699999999999932,-0.042957106409169166
2017-06-30,0.0899999999999963,0.44000000000001194,-0.008190653167784778
2017-07-31,-0.20000000000000284,-0.3400000000000034,0.004555845152157678
2017-08-31,0.1599999999999966,0.7599999999999909,-0.026611601494903048
2017-09-30,0.21000000000000085,0.6199999999999903,0.007858617178309713
2017-10-31,0.5799999999999983,-0.7099999999999937,0.04123022692475797
2017-11-30,0.5900000000000034,0.8299999999999983,-0.035717615096751865
2017-12-31,-0.46000000000000085,-0.1799999999999926,0.008278395639971903
2018-01-31,0.11999999999999744,2.2700000000000102,0.019193873377209236
2018-02-28,-0.07000000000000028,-0.4300000000000068,-0.016091217861705975
2018-03-31,0.3300000000000054,1.8799999999999955,0.11484333529116131
2018-04-30,0.740000000000002,-2.299999999999997,0.05267044794406228
2018-05-31,-0.1600000000000037,-0.10999999999999943,0.02071767769361932
2018-06-30,-0.10000000000000142,-0.01999999999999602,0.0034149728768186893
2018-07-31,0.09000000000000341,0.7099999999999937,-0.012987985016636672
2018-08-31,0.6499999999999986,0.37999999999999545,-0.03426695670436908
2018-09-30,0.19999999999999574,-0.03999999999999204,0.012513345636465
2018-10-31,1.3900000000000006,3.0799999999999983,-0.01934523024051904
2018-11-30,-0.240000000000002,0.7000000000000028,0.025331686013292165
2018-12-31,0.37999999999999545,1.1799999999999926,-0.00817511421738959
2019-01-31,0.29999999999999716,-1.9499999999999886,-0.033026582410929595
2019-02-28,-0.4299999999999997,-0.14000000000000057,0.0003743072789081925
2019-03-31,0.3100000000000023,1.009999999999991,-0.00799556218309938
2019-04-30,-0.9799999999999969,0.8299999999999841,0.01520060281398039
2019-05-31,-0.8099999999999952,-2.049999999999997,-0.013319274331497377
2019-06-30,-0.46000000000000085,-0.18999999999999773,0.013424524429847429
2019-07-31,1.0599999999999952,-4.079999999999984,0.034826592192500394
2019-08-31,-0.060000000000002274,-0.2599999999999909,0.062390874029604415
2019-09-30,1.2800000000000011,1.3000000000000114,-0.002837593398413496
2019-10-31,1.3699999999999974,-1.240000000000009,0.047527692271326805
2019-11-30,-0.14999999999999147,-0.9399999999999977,0.00888958929915451
2019-12-31,0.5300000000000011,0.10999999999998522,-0.007002832951121252
2020-01-31,-3.5900000000000034,-2.5500000000000114,0.01375967309559778
2020-02-29,-0.03999999999999204,3.829999999999984,0.0034463555426227366
2020-03-31,-0.13000000000000256,-2.519999999999982,-0.06912179239248883
2020-04-30,1.519999999999996,1.7800000000000011,-0.1639061242951898
2020-05-31,-0.07000000000000739,1.8499999999999943,-0.07579555669352378
2020-06-30,0.75,5.069999999999993,-0.01022570427080538
2020-07-31,10.070000000000007,1.1099999999999852,0.14433541471871214
2020-08-31,4.22999999999999,-3.3799999999999955,-0.029866526862296405
2020-09-30,1.7199999999999989,3.0700000000000216,-0.10521930516201128
2020-10-31,-6.459999999999994,-2.25,-0.11764985105664194
2020-11-30,2.4599999999999937,-1.1599999999999966,-0.028455854536963643
2020-12-31,-1.0300000000000011,0.7399999999999807,-0.05708766940271515
2021-01-31,-5.1299999999999955,-6.969999999999999,-0.1250113233762591
2021-02-28,0.27000000000001023,3.3899999999999864,0.003251535625877766
2021-03-31,2.25,3.920000000000016,0.13325737319793363
2021-04-30,-2.019999999999982,-0.3299999999999841,0.38749068995444524
2021-05-31,-0.6700000000000017,0.37000000000000455,0.15996791879036465
2021-06-30,0.6299999999999955,-0.5,-0.0018261098592373681
2021-07-31,0.22000000000002728,-1.589999999999975,-0.0916867495783078
2021-08-31,-1.289999999999992,-1.7099999999999795,0.003796699685874927
2021-09-30,-1.3300000000000125,-2.079999999999984,0.11929374610651022
2021-10-31,-2.769999999999982,7.269999999999982,0.15204649242222867
2021-11-30,5.060000000000002,-6.0400000000000205,0.0587776848281889
2021-12-31,-0.6299999999999955,-3.0,0.08544007255406383
2022-01-31,4.449999999999989,2.7200000000000273,0.14727214969775426
2022-02-28,0.27000000000001023,1.4800000000000182,0.07938624606543732
2022-03-31,-3.1599999999999966,-5.550000000000011,0.05935092460722413
2022-04-30,-5.989999999999981,-12.110000000000014,0.037401441090486376
2022-05-31,-0.799999999999983,-1.3700000000000045,0.052517519906206234
2022-06-30,-2.509999999999991,-3.430000000000007,0.08995320920691552
2022-07-31,5.159999999999997,4.329999999999984,0.03602448330624708
2022-08-31,-1.6899999999999977,-1.5,0.06449640744589713
2022-09-30,-4.280000000000001,-4.599999999999994,0.06665841078404222
2022-10-31,-2.4000000000000057,-3.740000000000009,-0.005524717403875834
2022-11-30,6.860000000000014,14.809999999999974,0.01736067439829192
2022-12-31,0.3199999999999932,-1.1899999999999977,0.01800283781673384
2023-01-31,1.289999999999992,5.099999999999994,-0.007741160481217313
2023-02-28,-0.5099999999999909,-0.7400000000000091,0.005771975077201619
2023-03-31,2.539999999999992,4.25,-0.020544674329502022
2023-04-30,1.2700000000000102,2.430000000000007,-0.019828363437901064
2023-05-31,-0.05000000000001137,-2.819999999999993,-0.04613005537477588
2023-06-30,4.3799999999999955,5.490000000000009,-0.06503002800717284
2023-07-31,0.6199999999999761,-2.4499999999999886,-0.032386474695901835
2023-08-31,0.21999999999999886,-1.0300000000000296,-0.043199548036896296
2023-09-30,0.5200000000000102,2.1100000000000136,-0.04107613261217369
2023-10-31,0.4800000000000182,0.8000000000000114,-0.015493057137730193
2023-11-30,0.5799999999999841,0.060000000000002274,-0.03986030512839833
2023-12-31,-1.0500000000000114,0.7600000000000477,-0.02855986176631886
2024-01-31,-3.6399999999999864,-11.009999999999991,0.0108744094716402
2024-02-29,-0.6699999999999875,5.919999999999959,-0.043619321307291736
2024-03-31,-1.8300000000000125,-0.7099999999999795,0.02409893897725346
